time,Yaw,Vel,Ideal Vel L,Ideal Vel R,Vel L,Vel R,Cur X,Cur Y,Ideal x,Ideal y,Next Pos x,Next Pos y,L,dX,Theta,Curvature,velDif,Closest idx,left pos,right pos
0.065,90.000000,0.250000,0.250000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000060,0.000000,0.612720,0.612720,0.000000,1.570796,0.000000,0.000000,0,-3546,-3426
0.115,89.990000,0.250000,0.249947,0.250053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000060,0.000000,0.612720,0.612720,0.000107,1.570796,0.000570,0.000053,0,-3546,-3425
0.164,90.000000,0.250000,0.250000,0.250000,0.000000,0.000000,0.000000,0.001657,0.000000,0.001800,0.000000,0.612720,0.611063,0.000000,1.570796,0.000000,0.000000,3,-3545,-3422
0.213,90.200000,0.250000,0.251075,0.248925,0.000000,0.065468,0.000000,0.004144,0.000000,0.003300,0.000000,0.612720,0.608576,-0.002124,1.570796,-0.011472,-0.001075,4,-3542,-3418
0.266,90.470000,0.250000,0.252315,0.247685,0.041435,0.138394,0.000000,0.008287,0.000000,0.008380,0.000000,0.672720,0.664433,-0.005450,1.570796,-0.024692,-0.002315,6,-3540,-3410
0.319,90.950000,0.250000,0.254514,0.245486,0.039778,0.185630,0.000000,0.014088,0.000000,0.012100,0.000000,0.702720,0.688632,-0.011417,1.570796,-0.048153,-0.004514,7,-3537,-3399
0.364,91.510000,0.266000,0.273077,0.258923,0.044750,0.211320,0.000000,0.019889,0.000000,0.021940,0.000000,0.762720,0.742831,-0.019575,1.570796,-0.070949,-0.007077,9,-3535,-3387
0.417,92.170000,0.306000,0.317342,0.294658,0.046408,0.229552,0.000000,0.026519,0.000000,0.028060,0.000000,0.792720,0.766201,-0.029012,1.570796,-0.098837,-0.011342,10,-3532,-3374
0.466,92.870000,0.346000,0.362491,0.329509,0.054695,0.248612,0.000000,0.034806,0.000000,0.034980,0.000000,0.822720,0.787914,-0.039451,1.570796,-0.127095,-0.016491,11,-3528,-3359
0.516,93.580000,0.386000,0.408693,0.363307,0.069611,0.295019,-0.000829,0.043093,0.000000,0.042700,0.000000,0.852720,0.809628,-0.051382,1.569773,-0.156772,-0.022693,12,-3524,-3343
0.5630000000000001,94.260000,0.426000,0.455342,0.396658,0.125963,0.360487,-0.001657,0.052208,0.000000,0.051220,0.000000,0.882720,0.830513,-0.063345,1.568801,-0.183676,-0.029342,13,-3518,-3326
0.613,95.510000,0.506000,0.549334,0.462666,0.159940,0.438385,-0.003315,0.068783,0.000000,0.070660,0.000000,0.942720,0.873944,-0.087215,1.567003,-0.228377,-0.043334,15,-3508,-3297
0.663,96.400000,0.546000,0.600062,0.491938,0.237839,0.461589,-0.004972,0.086185,0.000000,0.081580,0.000000,0.972720,0.886549,-0.103762,1.565188,-0.264037,-0.054062,16,-3494,-3269
0.713,97.040000,0.626000,0.692078,0.559922,0.361316,0.492251,-0.007458,0.105246,0.000000,0.105820,0.000000,1.032720,0.927504,-0.121075,1.562755,-0.281484,-0.066078,18,-3476,-3241
0.766,97.460000,0.706000,0.782901,0.629099,0.440871,0.541145,-0.009944,0.128449,0.000000,0.133260,0.000000,1.092720,0.964322,-0.135055,1.560484,-0.290468,-0.076901,20,-3451,-3209
0.8160000000000001,97.790000,0.746000,0.832765,0.659235,0.570150,0.649705,-0.014088,0.155797,0.000000,0.148180,0.000000,1.122720,0.967026,-0.145017,1.556227,-0.310151,-0.086765,21,-3421,-3173
0.865,98.160000,0.826000,0.925676,0.726324,0.637275,0.739206,-0.018232,0.188116,0.000000,0.180420,0.000000,1.182720,0.994771,-0.159219,1.552468,-0.321794,-0.099676,23,-3384,-3131
0.915,98.530000,0.906000,1.020508,0.791492,0.740863,0.819590,-0.024032,0.224579,0.000000,0.215860,0.000000,1.242720,1.018424,-0.174785,1.547196,-0.337036,-0.114508,25,-3342,-3083
0.966,98.750000,1.026000,1.155462,0.896538,0.817933,0.829535,-0.029833,0.265186,0.000000,0.275020,0.000000,1.332720,1.067951,-0.191883,1.542858,-0.336484,-0.129462,28,-3294,-3033
1.0190000000000001,98.860000,1.106000,1.248934,0.963066,0.955498,0.931465,-0.036463,0.307450,0.000000,0.318460,0.000000,1.392720,1.085883,-0.203182,1.537211,-0.344627,-0.142934,30,-3242,-2981
1.065,98.810000,1.186000,1.342410,1.029590,1.072345,1.040854,-0.043921,0.358001,0.000000,0.365100,0.000000,1.452720,1.095600,-0.211069,1.530697,-0.351682,-0.156410,32,-3180,-2920
1.117,98.730000,1.266000,1.437585,1.094415,1.197480,1.118753,-0.053037,0.411867,0.000000,0.414940,0.000000,1.512720,1.102130,-0.219508,1.522655,-0.361423,-0.171585,34,-3112,-2855
1.166,98.470000,1.346000,1.531792,1.160208,1.281179,1.161846,-0.062153,0.472362,0.000000,0.467980,0.000000,1.572720,1.102112,-0.223548,1.514372,-0.368087,-0.185792,36,-3036,-2785
1.219,98.040000,1.423000,1.620732,1.225268,1.506587,1.228142,-0.071269,0.535344,0.000000,0.524160,0.000000,1.632720,1.099688,-0.224052,1.505943,-0.370544,-0.197732,38,-2953,-2714
1.266,97.050000,1.495000,1.689101,1.300899,1.686416,1.295267,-0.080384,0.606613,0.000000,0.612720,0.000000,1.722720,1.118998,-0.216763,1.498898,-0.346223,-0.194101,41,-2856,-2637
1.316,95.690000,1.500000,1.682283,1.317717,1.781717,1.364878,-0.088672,0.682854,0.000000,0.672720,0.000000,1.782720,1.103435,-0.197282,1.490350,-0.324059,-0.182283,43,-2751,-2557
1.364,94.250000,1.500000,1.660817,1.339183,1.837241,1.410457,-0.095301,0.763238,0.000000,0.762720,0.000000,1.872720,1.113567,-0.177261,1.485110,-0.285898,-0.160817,46,-2641,-2472
1.412,92.780000,1.500000,1.637954,1.362046,1.789176,1.449406,-0.100273,0.845280,0.000000,0.852720,0.000000,1.962720,1.121930,-0.154352,1.481301,-0.245252,-0.137954,49,-2531,-2384
